0,4|1,0,511|0
0,4|1,0,511;1,0,511|1
0,4|1,0,511;1,0,511;1,0,511|1
0,4|1,0,511;1,0,511;1,0,511;1,0,511|1
0,8|1,0,511;1,0,511;1,0,511;1,0,511|1
0,12|1,0,511;1,0,511;1,0,511;1,0,511|1
0,16|1,0,511;1,0,511;1,0,511;1,0,511|1
0,20|1,0,511;1,0,511;1,0,511;1,0,511|1
0,24|1,0,511;1,0,511;1,0,511;1,0,511|0
0,28|1,0,511;1,0,511;1,0,511;1,0,511|0
0,32|1,0,511;1,0,511;1,0,511;1,0,511|0
0,4|1,0,497|0
0,4|1,0,497;1,0,497|1
0,4|1,0,497;1,0,497;1,0,497|1
0,4|1,0,497;1,0,497;1,0,497;1,0,497|1
0,8|1,0,497;1,0,497;1,0,497;1,0,497|1
0,12|1,0,497;1,0,497;1,0,497;1,0,497|1
0,16|1,0,497;1,0,497;1,0,497;1,0,497|1
0,20|1,0,497;1,0,497;1,0,497;1,0,497|1
0,24|1,0,497;1,0,497;1,0,497;1,0,497|0
0,28|1,0,497;1,0,497;1,0,497;1,0,497|0
0,32|1,0,497;1,0,497;1,0,497;1,0,497|0
0,4|1,0,477|0
0,4|1,0,477;1,0,477|1
0,4|1,0,477;1,0,477;1,0,477|1
0,4|1,0,477;1,0,477;1,0,477;1,0,477|1
0,8|1,0,477;1,0,477;1,0,477;1,0,477|1
0,12|1,0,477;1,0,477;1,0,477;1,0,477|1
0,16|1,0,477;1,0,477;1,0,477;1,0,477|1
0,20|1,0,477;1,0,477;1,0,477;1,0,477|0
0,24|1,0,477;1,0,477;1,0,477;1,0,477|0
0,28|1,0,477;1,0,477;1,0,477;1,0,477|0
0,32|1,0,477;1,0,477;1,0,477;1,0,477|0
0,4|1,0,445|0
0,4|1,0,445;1,0,445|1
0,4|1,0,445;1,0,445;1,0,445|1
0,4|1,0,445;1,0,445;1,0,445;1,0,445|1
0,8|1,0,445;1,0,445;1,0,445;1,0,445|1
0,12|1,0,445;1,0,445;1,0,445;1,0,445|1
0,16|1,0,445;1,0,445;1,0,445;1,0,445|1
0,20|1,0,445;1,0,445;1,0,445;1,0,445|0
0,24|1,0,445;1,0,445;1,0,445;1,0,445|0
0,28|1,0,445;1,0,445;1,0,445;1,0,445|0
0,32|1,0,445;1,0,445;1,0,445;1,0,445|0
0,4|1,0,403|0
0,4|1,0,403;1,0,403|1
0,4|1,0,403;1,0,403;1,0,403|1
0,4|1,0,403;1,0,403;1,0,403;1,0,403|1
0,8|1,0,403;1,0,403;1,0,403;1,0,403|1
0,12|1,0,403;1,0,403;1,0,403;1,0,403|1
0,16|1,0,403;1,0,403;1,0,403;1,0,403|1
0,20|1,0,403;1,0,403;1,0,403;1,0,403|0
0,24|1,0,403;1,0,403;1,0,403;1,0,403|0
0,28|1,0,403;1,0,403;1,0,403;1,0,403|0
0,32|1,0,403;1,0,403;1,0,403;1,0,403|0
0,4|1,0,341|0
0,4|1,0,341;1,0,341|1
0,4|1,0,341;1,0,341;1,0,341|1
0,4|1,0,341;1,0,341;1,0,341;1,0,341|1
0,8|1,0,341;1,0,341;1,0,341;1,0,341|1
0,12|1,0,341;1,0,341;1,0,341;1,0,341|1
0,16|1,0,341;1,0,341;1,0,341;1,0,341|0
0,20|1,0,341;1,0,341;1,0,341;1,0,341|0
0,24|1,0,341;1,0,341;1,0,341;1,0,341|0
0,28|1,0,341;1,0,341;1,0,341;1,0,341|0
0,32|1,0,341;1,0,341;1,0,341;1,0,341|0
0,4|1,0,251|0
0,4|1,0,251;1,0,251|1
0,4|1,0,251;1,0,251;1,0,251|1
0,4|1,0,251;1,0,251;1,0,251;1,0,251|1
0,8|1,0,251;1,0,251;1,0,251;1,0,251|1
0,12|1,0,251;1,0,251;1,0,251;1,0,251|1
0,16|1,0,251;1,0,251;1,0,251;1,0,251|0
0,20|1,0,251;1,0,251;1,0,251;1,0,251|0
0,24|1,0,251;1,0,251;1,0,251;1,0,251|0
0,28|1,0,251;1,0,251;1,0,251;1,0,251|0
0,32|1,0,251;1,0,251;1,0,251;1,0,251|0
0,4|1,0,45|0
0,4|1,0,45;1,0,45|0
0,4|1,0,45;1,0,45;1,0,45|0
0,4|1,0,45;1,0,45;1,0,45;1,0,45|1
0,8|1,0,45;1,0,45;1,0,45;1,0,45|0
0,12|1,0,45;1,0,45;1,0,45;1,0,45|0
0,16|1,0,45;1,0,45;1,0,45;1,0,45|0
0,20|1,0,45;1,0,45;1,0,45;1,0,45|0
0,24|1,0,45;1,0,45;1,0,45;1,0,45|0
0,28|1,0,45;1,0,45;1,0,45;1,0,45|0
0,32|1,0,45;1,0,45;1,0,45;1,0,45|0
0,4|1,0,0|0
0,4|1,0,0;1,0,0|0
0,4|1,0,0;1,0,0;1,0,0|0
0,4|1,0,0;1,0,0;1,0,0;1,0,0|0
0,8|1,0,0;1,0,0;1,0,0;1,0,0|0
0,12|1,0,0;1,0,0;1,0,0;1,0,0|0
0,16|1,0,0;1,0,0;1,0,0;1,0,0|0
0,20|1,0,0;1,0,0;1,0,0;1,0,0|0
0,24|1,0,0;1,0,0;1,0,0;1,0,0|0
0,28|1,0,0;1,0,0;1,0,0;1,0,0|0
0,32|1,0,0;1,0,0;1,0,0;1,0,0|0
