9,0.00233333333333,0.00353333333333,0.00808333333333,0.00166666666667,0.0166666666667,0.1,0.00555555555556,0.00833333333333,0.0444444444444,0,0,0.15,0.0888888888889,0.0666666666667,0.222222222222,0.0133333333333,0.0184,0.0208,1
6,0.00725,0,0,0.0275,0,0,0.00833333333333,0,0,0.4,0,0,0.266666666667,0,0,0.0303333333333,0,0,1
8,0.032875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04525,0,0,0
1,0,0,0.04725,0,0,0,0.05,0,0,0,0,2.7,0,0,0,0,0,0,1
9,0,0.0124666666667,0,0.03,0.0166666666667,0,0,0,0,0,0,0,0.155555555556,0.366666666667,0,0,0,0,0
4,0.013375,0.0177,0,0,0,0.0225,0.0,0.0,0.025,0,0,0,0,0,0,0,0.012,0.018,0
1,0.021,0,0,0.03,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
2,0.023,0.0513,0,0.0075,0.075,0,0,0,0,0.45,0.18,0,0,0,0,0,0,0,1
6,0,0,0.013625,0,0,0,0,0,0,0.05,0.06,0.75,0,0,0,0,0,0,1
2,0,0.0261,0,0.015,0.03,0,0,0,0,0.15,0,0,0.1,0.3,0,0,0,0,1
3,0.00383333333333,0,0,0.115,0,0,0,0,0,0,0,0,0.0666666666667,0,0,0,0,0,0
1,0.004,0.048,0,0.0,0.12,0,0,0.0,0,0.3,0.0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.4,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,1
5,0.0038,0.03012,0,0,0,0,0.11,0.105,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
3,0.00683333333333,0.0056,0.01675,0.06,0.11,0.06,0,0,0,0,0,0,0,0,0,0.0153333333333,0.0288,0.0276,0
2,0,0,0,0.0825,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,1
1,0,0.0474,0.087,0,0,0.135,0,0,0.0,0,0,0,0,0,0,0.008,0,0.0252,0
2,0,0,0,0.06,0,0,0.025,0,0,0,0,0,0.5,0,0,0.031,0,0,1
1,0.0505,0,0,0,0,0,0.0,0,0,0,0,0,1.6,0,0,0.024,0,0,1
2,0,0,0,0,0.03,0,0,0,0,0,0,0,0.6,0.75,0,0,0,0,1
1,0,0,0,0.075,0,0,0,0,0,0.3,0,0,0.4,0,0,0,0,0,1
3,0.0303333333333,0.0618,0,0.24,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,1
6,0,0,0,0.0275,0.015,0.135,0.00833333333333,0.025,0.0166666666667,0,0,0,0,0,0,0.00433333333333,0.0076,0,0
9,0.00966666666667,0.0216,0,0,0,0,0,0,0,0.0666666666667,0.2,0,0,0,0,0.0186666666667,0.0064,0,0
1,0,0,0,0.075,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.075,0.08,0,0,0,0,0.1,0.84,0,0.2,0.1,0,0,0,0,1
5,0.0217,0.02112,0,0.033,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0342,0,0.03,0.06,0,0,0,0,0.0,0.36,0,0,0,0,0,0.0216,0,1
1,0,0,0,0,0,0,0.0,0,0,0,0,2.25,0,0,0,0,0,0,1
6,0,0,0,0.01,0.005,0.105,0,0,0,0.05,0.3,0.3,0.0666666666667,0.65,0.8,0,0,0,1
11,0.00181818181818,0.0109090909091,0.0288409090909,0,0.0136363636364,0,0,0,0,0,0,0,0,0.245454545455,0,0.00981818181818,0.0096,0,0
7,0,0,0,0,0,0,0.00714285714286,0,0,0.0857142857143,0,0,0,0,0,0.00371428571429,0,0,0
2,0.00975,0,0.02025,0,0,0,0.0,0,0.0,0,0.36,0,0.1,1.05,0.4,0.006,0.0084,0,1
5,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,1
9,0.00655555555556,0.00413333333333,0.0220833333333,0,0,0,0,0.00833333333333,0.0111111111111,0,0.12,0,0,0,0,0,0,0.012,0
1,0.0055,0,0,0,0.21,0,0.0,0,0,0,0,0,0.4,0.6,0,0.026,0,0,1
3,0,0,0,0,0.02,0.075,0,0,0,0,0.24,0.45,0,0,0,0.00333333333333,0.0104,0.0252,1
1,0,0,0,0.045,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0.03,0,0.225,0,0,0,0,0,0,0,0.6,0,0.005,0.0096,0,1
2,0.01675,0,0,0,0,0,0,0,0,1.05,0,0,0.6,0,0,0.015,0,0,1
7,0.0055,0.00488571428571,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685714285714,0.0102857142857,0
